63 epoch, LR 0.000151, LOSS 1.298684, ACC 76.60%, EER 3.88%, bestEER 2.99%
64 epoch, LR 0.000147, LOSS 1.298209, ACC 76.69%, EER 4.41%, bestEER 2.99%
65 epoch, LR 0.000142, LOSS 1.279868, ACC 76.90%, EER 3.72%, bestEER 2.99%
66 epoch, LR 0.000138, LOSS 1.266042, ACC 77.15%, EER 4.16%, bestEER 2.99%
67 epoch, LR 0.000134, LOSS 1.256993, ACC 77.31%, EER 3.76%, bestEER 2.99%
68 epoch, LR 0.000130, LOSS 1.248504, ACC 77.44%, EER 3.84%, bestEER 2.99%
69 epoch, LR 0.000126, LOSS 1.230574, ACC 77.69%, EER 3.57%, bestEER 2.99%
70 epoch, LR 0.000122, LOSS 1.225389, ACC 77.82%, EER 4.18%, bestEER 2.99%
71 epoch, LR 0.000119, LOSS 1.208984, ACC 78.07%, EER 4.44%, bestEER 2.99%
72 epoch, LR 0.000115, LOSS 1.200027, ACC 78.27%, EER 3.33%, bestEER 2.99%
73 epoch, LR 0.000112, LOSS 1.190835, ACC 78.39%, EER 3.78%, bestEER 2.99%
74 epoch, LR 0.000108, LOSS 1.180767, ACC 78.60%, EER 3.92%, bestEER 2.99%
75 epoch, LR 0.000105, LOSS 1.175241, ACC 78.76%, EER 3.53%, bestEER 2.99%
76 epoch, LR 0.000102, LOSS 1.162260, ACC 78.86%, EER 3.94%, bestEER 2.99%
77 epoch, LR 0.000099, LOSS 1.155615, ACC 79.07%, EER 3.91%, bestEER 2.99%
78 epoch, LR 0.000096, LOSS 1.142836, ACC 79.21%, EER 3.39%, bestEER 2.99%
79 epoch, LR 0.000093, LOSS 1.134759, ACC 79.35%, EER 3.91%, bestEER 2.99%
80 epoch, LR 0.000090, LOSS 1.127192, ACC 79.60%, EER 3.37%, bestEER 2.99%
